id_transaccion,timestamp,monto_eur,distancia_km_cliente,Volumen_total,Cantidad_de_transacciones
TXN_1000,2026-09-01 08:00:00,174.8,1.9,174.8,1
TXN_1001,2026-09-01 08:15:00,428.31,28.82,428.31,1
TXN_1002,2026-09-01 08:30:00,332.08,14.49,332.08,1
TXN_1003,2026-09-01 08:45:00,273.41,23.13,273.41,1
TXN_1004,2026-09-01 09:00:00,78.65,40.89,78.65,1
TXN_1005,2026-09-01 09:15:00,78.64,11.59,78.64,1
TXN_1006,2026-09-01 09:30:00,35.56,18.76,35.56,1
TXN_1007,2026-09-01 09:45:00,391.12,34.12,391.12,1
TXN_1008,2026-09-01 10:00:00,274.49,10.68,274.49,1
TXN_1009,2026-09-01 10:15:00,321.55,3.93,321.55,1
TXN_1010,2026-09-01 10:30:00,19.06,13.39,19.06,1
TXN_1011,2026-09-01 10:45:00,436.76,7.67,436.76,1
TXN_1012,2026-09-01 11:00:00,376.27,650.5,376.27,1
TXN_1013,2026-09-01 11:15:00,103.43,36.46,103.43,1
TXN_1014,2026-09-01 11:30:00,90.0,28.69,90.0,1
TXN_1015,2026-09-01 11:45:00,90.7,39.28,90.7,1
TXN_1016,2026-09-01 12:00:00,143.87,36.26,143.87,1
TXN_1017,2026-09-01 12:15:00,240.89,8.8,240.89,1
TXN_1018,2026-09-01 12:30:00,200.06,40.22,200.06,1
TXN_1019,2026-09-01 12:45:00,138.14,24.5,138.14,1
TXN_1020,2026-09-01 13:00:00,279.22,36.43,279.22,1
TXN_1021,2026-09-01 13:15:00,71.38,40.38,71.38,1
TXN_1022,2026-09-01 13:30:00,138.54,14.65,138.54,1
TXN_1023,2026-09-01 13:45:00,171.2,5.4,171.2,1
TXN_1024,2026-09-01 14:00:00,210.67,10.64,210.67,1
TXN_1025,2026-09-01 14:15:00,6200.5,19.51,6200.5,1
TXN_1026,2026-09-01 14:30:00,97.86,36.9,97.86,1
TXN_1027,2026-09-01 14:45:00,236.26,38.8,236.26,1
TXN_1028,2026-09-01 15:00:00,270.66,0.81,270.66,1
TXN_1029,2026-09-01 15:15:00,30.44,23.23,30.44,1
TXN_1030,2026-09-01 15:30:00,277.32,19.07,277.32,1
TXN_1031,2026-09-01 15:45:00,85.03,10.38,85.03,1
TXN_1032,2026-09-01 16:00:00,38.62,5.83,38.62,1
TXN_1033,2026-09-01 16:15:00,427.51,15.52,427.51,1
TXN_1034,2026-09-01 16:30:00,434.88,42.46,434.88,1
TXN_1035,2026-09-01 16:45:00,365.69,14.88,365.69,1
TXN_1036,2026-09-01 17:00:00,144.03,23.59,144.03,1
TXN_1037,2026-09-01 17:15:00,52.98,31.78,52.98,1
TXN_1038,2026-09-01 17:30:00,311.06,16.68,311.06,1
TXN_1039,2026-09-01 17:45:00,203.67,43.74,203.67,1
TXN_1040,2026-09-01 18:00:00,63.7,43.33,63.7,1
TXN_1041,2026-09-01 18:15:00,227.88,11.7,227.88,1
TXN_1042,2026-09-01 18:30:00,25.13,22.63,25.13,1
TXN_1043,2026-09-01 18:45:00,410.1,13.89,410.1,1
TXN_1044,2026-09-01 19:00:00,123.86,13.18,123.86,1
TXN_1045,2026-09-01 19:15:00,301.51,1200.0,301.51,1
TXN_1046,2026-09-01 19:30:00,147.15,27.63,147.15,1
TXN_1047,2026-09-01 19:45:00,238.83,22.87,238.83,1
TXN_1048,2026-09-01 20:00:00,250.55,2.79,250.55,1
TXN_1049,2026-09-01 20:15:00,91.34,12.9,91.34,1
TXN_1050,2026-09-01 20:30:00,436.62,40.92,436.62,1
TXN_1051,2026-09-01 20:45:00,351.06,11.16,351.06,1
TXN_1052,2026-09-01 21:00:00,423.38,6.95,423.38,1
TXN_1053,2026-09-01 21:15:00,403.72,22.28,403.72,1
TXN_1054,2026-09-01 21:30:00,273.08,44.36,273.08,1
TXN_1055,2026-09-01 21:45:00,415.62,11.27,415.62,1
TXN_1056,2026-09-01 22:00:00,48.94,30.41,48.94,1
TXN_1057,2026-09-01 22:15:00,96.23,34.39,96.23,1
TXN_1058,2026-09-01 22:30:00,29.9,11.07,29.9,1
TXN_1059,2026-09-01 22:45:00,153.15,32.91,153.15,1
TXN_1060,2026-09-01 23:00:00,8500.0,16.87,8500.0,1
TXN_1061,2026-09-01 23:15:00,129.39,28.64,129.39,1
TXN_1062,2026-09-01 23:30:00,374.64,28.69,374.64,1
TXN_1063,2026-09-01 23:45:00,166.97,24.34,166.97,1
TXN_1064,2026-09-02 00:00:00,133.61,4.52,133.61,1
TXN_1065,2026-09-02 00:15:00,248.79,37.67,248.79,1
TXN_1066,2026-09-02 00:30:00,72.01,14.77,72.01,1
TXN_1067,2026-09-02 00:45:00,362.97,8.8,362.97,1
TXN_1068,2026-09-02 01:00:00,42.8,2.31,42.8,1
TXN_1069,2026-09-02 01:15:00,444.23,26.79,444.23,1
TXN_1070,2026-09-02 01:30:00,349.79,30.65,349.79,1
TXN_1071,2026-09-02 01:45:00,97.43,1.24,97.43,1
TXN_1072,2026-09-02 02:00:00,12.43,23.29,12.43,1
TXN_1073,2026-09-02 02:15:00,368.8,10.58,368.8,1
TXN_1074,2026-09-02 02:30:00,321.02,29.21,321.02,1
TXN_1075,2026-09-02 02:45:00,330.76,8.26,330.76,1
TXN_1076,2026-09-02 03:00:00,349.36,31.25,349.36,1
TXN_1077,2026-09-02 03:15:00,42.58,17.71,42.58,1
TXN_1078,2026-09-02 03:30:00,167.72,520.3,167.72,1
TXN_1079,2026-09-02 03:45:00,60.98,6.62,60.98,1
TXN_1080,2026-09-02 04:00:00,389.77,15.68,389.77,1
TXN_1081,2026-09-02 04:15:00,284.25,5.55,284.25,1
TXN_1082,2026-09-02 04:30:00,155.6,41.65,155.6,1
TXN_1083,2026-09-02 04:45:00,37.97,39.54,37.97,1
TXN_1084,2026-09-02 05:00:00,146.83,11.98,146.83,1
TXN_1085,2026-09-02 05:15:00,153.08,29.87,153.08,1
TXN_1086,2026-09-02 05:30:00,331.03,36.87,331.03,1
TXN_1087,2026-09-02 05:45:00,290.53,25.21,290.53,1
TXN_1088,2026-09-02 06:00:00,5100.75,24.07,5100.75,1
TXN_1089,2026-09-02 06:15:00,217.77,11.26,217.77,1
TXN_1090,2026-09-02 06:30:00,62.62,4.64,62.62,1
TXN_1091,2026-09-02 06:45:00,323.83,40.43,323.83,1
TXN_1092,2026-09-02 07:00:00,344.75,40.57,344.75,1
TXN_1093,2026-09-02 07:15:00,256.96,28.67,256.96,1
TXN_1094,2026-09-02 07:30:00,349.23,15.59,349.23,1
TXN_1095,2026-09-02 07:45:00,9400.0,850.0,9400.0,1
TXN_1096,2026-09-02 08:00:00,240.0,32.81,240.0,1
TXN_1097,2026-09-02 08:15:00,198.12,40.42,198.12,1
TXN_1098,2026-09-02 08:30:00,21.18,39.98,21.18,1
TXN_1099,2026-09-02 08:45:00,57.47,35.2,57.47,1
